db_university,db_major,reason
LH토지주택대학교,건축공학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
가야대학교,광학공학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
가야대학교,교양인문학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
가천대학교,교양인문학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
가천대학교,국제학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
가천대학교,기타아시아어학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
가천대학교,기타유럽어학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
가천대학교,응급구조학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
가톨릭관동대학교,경영정보학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
가톨릭관동대학교,경제학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
가톨릭관동대학교,관광경영학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
가톨릭관동대학교,광학공학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
가톨릭관동대학교,교양공학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
가톨릭관동대학교,교양인문학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
가톨릭관동대학교,군사학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
가톨릭관동대학교,기독교학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
가톨릭관동대학교,보건관리학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
가톨릭관동대학교,의료정보공학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
가톨릭대학교,교양경상학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
가톨릭대학교,교양공학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
가톨릭대학교,교양사회과학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
가톨릭대학교,교양생활과학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
가톨릭대학교,교양인문학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
가톨릭대학교,교양자연과학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
가톨릭대학교,국제법무학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
가톨릭대학교,국제학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
가톨릭대학교,생명과학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
가톨릭상지대학교,국방기술과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
가톨릭상지대학교,농수산과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
가톨릭상지대학교,바이오생명정보과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
가톨릭상지대학교,반려동물과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
가톨릭상지대학교,보건행정과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
강남대학교,교양사회과학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
강동대학교,교양과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
강동대학교,산업안전과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
강동대학교,소방안전관리과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
강릉영동대학교,간호과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
강릉영동대학교,건축과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
강릉영동대학교,경영정보과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
강릉영동대학교,경찰행정과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
강릉영동대학교,관광경영과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
강릉영동대학교,광고기획과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
강릉영동대학교,금형설계과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
강릉영동대학교,농수산과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
강릉영동대학교,물리치료과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
강릉영동대학교,의료보장구과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
강릉영동대학교,의료정보시스템과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
강서대학교,경영정보학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
강원대학교,교양공학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
강원대학교,교양사회과학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
강원대학교,교양생활과학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
강원대학교,교양자연과학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
강원대학교,독어독문학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
강원도립대학교,경찰행정과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
강원도립대학교,농수산과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
강원도립대학교,소방안전관리과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
거제대학교,경영회계정보과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
거제대학교,교양과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
거제대학교,국제경영과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
거제대학교,기계과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
거제대학교,산업안전과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
건국대학교,교양사회과학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
건국대학교,교양인문학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
건국대학교,기타유럽어학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
건국대학교 글로컬캠퍼스,광고홍보학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
건국대학교 글로컬캠퍼스,교양사회과학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
건국대학교 글로컬캠퍼스,교양자연과학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
건국대학교 글로컬캠퍼스,문예창작학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
건양대학교,건축학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
건양대학교,교양공학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
건양대학교,교양인문학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
건양사이버대학교,경영학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
건양사이버대학교,광고홍보학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
건양사이버대학교,교양인문학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
건양사이버대학교,교육학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
건양사이버대학교,보건관리학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경기과학기술대학교,건축과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경기과학기술대학교,게임콘텐츠과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경기과학기술대학교,경영정보과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경기과학기술대학교,교양과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경기과학기술대학교,금형설계과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경기과학기술대학교,기계과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경기과학기술대학교,기계설계과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경기과학기술대학교,바이오생명정보과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경기과학기술대학교,보건행정과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경기과학기술대학교,소방안전관리과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경기대학교,교양인문학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경기대학교,교통공학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경기대학교,국제관계학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경기대학교,문예창작학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경남대학교,교양인문학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경남대학교,교양자연과학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경남도립거창대학,간호과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경남도립거창대학,건축과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경남도립거창대학,보건행정과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경남도립남해대학,산업안전과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경남정보대학교,건축과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경남정보대학교,경영정보과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경남정보대학교,경찰행정과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경남정보대학교,교양과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경남정보대학교,기계과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경남정보대학교,기계설계과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경남정보대학교,문예창작과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경남정보대학교,반려동물과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경남정보대학교,보건행정과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경남정보대학교,소방안전관리과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경동대학교,교양인문학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경민대학교,경영정보과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경민대학교,교양과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경민대학교,농수산과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경민대학교,보건행정과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경민대학교,소방안전관리과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경복대학교,경영정보과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경복대학교,관광경영과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경복대학교,반려동물과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경복대학교,보건행정과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경북과학대학교,관광경영과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경북과학대학교,국방기술과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경북과학대학교,농수산과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경북과학대학교,보건행정과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경북도립대학교,소방안전관리과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경북도립대학교,응급구조과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경북보건대학교,보건환경과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경북전문대학교,건축과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경북전문대학교,경찰행정과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경북전문대학교,물리치료과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경북전문대학교,보건행정과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경북전문대학교,소방안전관리과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경상국립대학교,고분자공학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경상국립대학교,교양인문학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경상국립대학교,산림자원학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경성대학교,교양공학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경운대학교,교양공학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경운대학교,교양사회과학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경운대학교,교양인문학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경인여자대학교,간호과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경인여자대학교,경영정보과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경인여자대학교,관광경영과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경인여자대학교,관광통역과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경인여자대학교,교양과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경인여자대학교,반려동물과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경인여자대학교,보건행정과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경인여자대학교,보건환경과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경일대학교,교양공학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경일대학교,교양인문학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경일대학교,교통공학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경일대학교,농공학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경희대학교,교양공학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경희대학교,교양사회과학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경희대학교,교양인문학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경희대학교,교양자연과학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경희대학교,러시아어문학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경희대학교,약학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경희사이버대학교,경영학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경희사이버대학교,관광경영학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경희사이버대학교,교양사회과학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경희사이버대학교,교양인문학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경희사이버대학교,국어교육과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경희사이버대학교,국어국문학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경희사이버대학교,국제학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경희사이버대학교,문예창작학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경희사이버대학교,보건관리학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
계명대학교,교양인문학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
계명대학교,교양자연과학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
계명문화대학교,건축과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
계명문화대학교,경영회계정보과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
계명문화대학교,국제경영과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
계명문화대학교,기계과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
계명문화대학교,물리치료과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
계명문화대학교,반려동물과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
계명문화대학교,보건행정과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
계명문화대학교,소방안전관리과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
계명문화대학교,언어재활과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
계명문화대학교,응급구조과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
계명문화대학교,의료보장구과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
계원예술대학교,건축과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
계원예술대학교,게임콘텐츠과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
고려대학교,가정교육과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
고려대학교,건축학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
고려대학교,교양공학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
고려대학교,교양인문학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
고려대학교,교양자연과학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
고려대학교,교육학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
고려대학교,국어교육과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
고려대학교,국어국문학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
고려대학교,독어독문학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
고려대학교,러시아어문학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
고려대학교,물리학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
고려대학교,방사선학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
고려대학교,수학교육과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
고려대학교,역사교육과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
고려대학교 세종캠퍼스,고고학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
고려대학교 세종캠퍼스,교양인문학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
고려대학교 세종캠퍼스,국어국문학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
고려대학교 세종캠퍼스,국제문화정보학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
고려대학교 세종캠퍼스,국제지역학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
고려대학교 세종캠퍼스,독어독문학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
고려대학교 세종캠퍼스,독일학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
고려대학교 세종캠퍼스,문예창작학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
고려대학교 세종캠퍼스,약학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
고려사이버대학교,건축공학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
고려사이버대학교,경영학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
고려사이버대학교,경찰행정학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
고려사이버대학교,교양공학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
고려사이버대학교,교양인문학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
고려사이버대학교,교육학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
고려사이버대학교,보건관리학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
고신대학교,광고홍보학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
고신대학교,교양공학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
고신대학교,교양인문학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
고신대학교,보건관리학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
고신대학교,생명공학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
광양보건대학교,물리치료과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
광양보건대학교,방사선과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
광양보건대학교,응급구조과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
광운대학교,게임공학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
광운대학교,교양공학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
광운대학교,교양인문학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
광운대학교,교양자연과학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
광운대학교,국제법무학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
광운대학교,국제지역학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
광운대학교,국제통상학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
광운대학교,국제학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
광주과학기술원,교양인문학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
광주과학기술원,기계공학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
광주과학기술원,물리학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
광주과학기술원,생명과학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
광주교육대학교,가정교육과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
광주교육대학교,과학교육과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
광주교육대학교,교육학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
광주교육대학교,미술교육과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
광주교육대학교,사회교육과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
광주교육대학교,수학교육과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
광주대학교,교양공학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
광주대학교,교양인문학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
광주보건대학교,경영정보과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
광주보건대학교,물리치료과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
광주보건대학교,방사선과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
광주보건대학교,보건행정과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
광주여자대학교,교육학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
구미대학교,게임콘텐츠과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
구미대학교,관광경영과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
구미대학교,기계과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
구미대학교,반려동물과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
구미대학교,보건행정과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
구미대학교,소방안전관리과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
구미대학교,언어재활과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
구미대학교,의료보장구과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
국립공주대학교,기계설계공학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
국립군산대학교,고고학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
국립군산대학교,교양자연과학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
국립군산대학교,교육학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
국립금오공과대학교,건축공학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
국립금오공과대학교,건축학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
국립금오공과대학교,교양공학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
국립금오공과대학교,교양인문학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
국립금오공과대학교,생화학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
국립목포대학교,교양공학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
국립목포대학교,교양사회과학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
국립목포대학교,교양생활과학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
국립목포대학교,교양자연과학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
국립목포대학교,국제문화정보학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
국립목포대학교,독어독문학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
국립목포대학교,문화인류학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
국립목포대학교,물리학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
국립목포대학교,산림자원학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
국립목포해양대학교,건축학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
국립목포해양대학교,군사학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
국립부경대학교,교양사회과학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
국립부경대학교,의료정보공학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
국립순천대학교,교양경상학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
국립순천대학교,약학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
국립안동대학교,경제학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
국립안동대학교,관광경영학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
국립안동대학교,국어국문학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
국립안동대학교,기계설계공학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
국립안동대학교,기타유럽어학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
국립안동대학교,문화인류학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
국립안동대학교,물리학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
국립안동대학교,산림자원학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
국립안동대학교,생물학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
국립안동대학교,생화학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
국립창원대학교,간호학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
